course_id,course_title,is_paid,price,num_subscribers,num_lectures,content_duration,published_timestamp,subject
73938,CFA Level I Workshop 2: Financial Reporting & Analysis I ,TRUE,20,147,5,1,2013-08-12T13:21:26Z,Business Finance
73962,CFA Level I Workshop 3: Financial Reporting & Analysis II,TRUE,20,126,5,1,2013-08-12T13:26:27Z,Business Finance
74004,CFA Level I Workshop 4: Fixed Income and Equity,TRUE,20,71,5,1,2013-08-12T13:31:41Z,Business Finance
74016,"CFA Level I Workshop 5: Corp Finance, Quants II & Derivative",TRUE,20,139,6,1.5,2013-08-12T13:51:50Z,Business Finance
74028,"CFA Level I Workshop 6: Alternatives, PM and Economics ",TRUE,20,110,5,1,2013-08-12T13:54:47Z,Business Finance
74782,How To Create Amazing YouTube Custom Thumbnail Images,TRUE,20,71,5,1,2013-08-12T14:20:49Z,Business Finance
75182,Trade Show Samurai,TRUE,25,78,16,1.5,2013-09-29T22:43:14Z,Graphic Design
76052,Try Django 1.9 | Build a Blog and Learn Python's #1 Library,TRUE,95,32,7,0.516666667,2013-08-29T15:44:46Z,Business Finance
76524,A new approach to piano and playing songs for beginners,TRUE,50,7407,147,20,2014-03-04T07:12:21Z,Web Development
77532,Graphic Design for Entrepreneurs...Who Can't Draw,TRUE,50,7140,26,1.5,2013-08-11T20:39:24Z,Musical Instruments
77642,Learn HTML 5 in 1 hour,TRUE,20,3903,13,1.5,2013-08-17T02:34:46Z,Graphic Design
77896,Typography Fundamentals - Feel confident with type!,TRUE,100,11643,21,1,2013-08-12T23:26:32Z,Web Development
79120,LaTeX for Professional Publications,TRUE,20,1873,14,1,2013-10-20T07:39:55Z,Graphic Design
79154,Back to School Web Development and Programming Bundle,TRUE,25,867,22,3,2013-09-24T18:21:26Z,Graphic Design
79364,Your Business by the Numbers,TRUE,200,18170,779,44.5,2013-08-19T14:53:00Z,Web Development
80844,Beginner Guitar - 38 Easy Lessons You Needs to Get Started,TRUE,25,29,42,3,2013-09-26T14:16:35Z,Business Finance
80940,Build Websites from Scratch with HTML & CSS,TRUE,40,250,39,3,2013-09-05T22:58:33Z,Musical Instruments
81064,Easy Forex and Futures Trading,TRUE,145,51257,77,8,2013-09-25T15:59:09Z,Web Development
81278,How to draw Caricatures,TRUE,100,218,66,14.5,2013-12-31T01:22:44Z,Business Finance
82412,Intro to PHP Web Application Development with Symfony,TRUE,20,347,11,4,2013-08-21T16:58:27Z,Graphic Design
82778,All about NodeJS,TRUE,200,4040,20,1.5,2013-09-06T02:34:20Z,Web Development
82960,Mastering the Art of Guitar Chords,TRUE,50,8755,133,15.5,2014-12-19T20:46:50Z,Web Development
83736,Small Biz Doers' Guide to Small Biz Accounting + Bookkeeping,TRUE,20,78,18,1.5,2013-11-18T20:23:02Z,Musical Instruments
86558,The Art Of Financial Valuation With Certificate,TRUE,20,1294,58,5.5,2013-08-28T03:28:52Z,Business Finance
90132,Didgeridoo - from zero to HERO! Part Three. Advanced level.,TRUE,20,3372,12,2,2013-09-29T23:52:54Z,Business Finance
92194,Create a classified website in 2 hours - guaranteed,TRUE,35,209,19,1.5,2014-10-10T08:05:42Z,Musical Instruments
92760,Crash Course: Fundamentals Of HTML & CSS From Scratch.,TRUE,50,3411,22,1,2013-11-09T09:36:07Z,Web Development
93484,Drawing Cartoony Characters,TRUE,20,7368,52,2,2013-09-20T19:48:56Z,Web Development
